listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
55868,Entire home/apt,Entire condo,0.2,0.11764705882352941,0.002,0.017793594306049824,False,1.5,False,1,Zuid,96.0,96.0,856.0,0,0.0,3.0,21.0,0,0.0,3.0,21.0,0,0.0,1,2025-12-10,v1
62015,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.029,0.025800711743772242,False,1.5,False,1,Oud-Oost,38.0,38.0,619.0,22,0.24175824175824176,30.0,30.0,9,0.2903225806451613,30.0,30.0,0,0.0,1,2025-12-10,v1
80635,Private room,Private room in home,0.0,0.058823529411764705,0.002,1.0,False,1.5,False,4,Centrum-West,241.0,241.0,1075.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,0,0.0,1,2025-12-10,v1
91535,Private room,Private room in boat,0.06666666666666667,0.058823529411764705,0.0,0.025800711743772242,True,1,True,1,De Pijp - Rivierenbuurt,318.0,318.0,94.0,0,0.0,1.0,1125.0,0,0.0,1.0,1125.0,0,0.0,1,2025-12-10,v1
97221,Private room,Private room in bed and breakfast,0.06666666666666667,0.058823529411764705,0.001,0.006227758007117438,False,1,False,2,Slotervaart,412.0,410.0,124.0,49,0.5384615384615384,2.0,8.0,26,0.8387096774193549,2.0,8.0,25,0.8333333333333334,0,2025-12-10,v1
137026,Entire home/apt,Entire townhouse,0.2,0.17647058823529413,0.001,1.0,False,2,True,1,De Pijp - Rivierenbuurt,117.0,116.0,108.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
155548,Entire home/apt,Entire rental unit,0.13333333333333333,0.058823529411764705,0.002,0.012455516014234875,False,1.5,False,1,Oud-Oost,21.0,21.0,2304.0,0,0.0,3.0,15.0,0,0.0,3.0,15.0,0,0.0,1,2025-12-10,v1
158633,Entire home/apt,Entire home,0.2,0.17647058823529413,0.002,0.011565836298932384,False,1,False,1,Noord-Oost,20.0,20.0,102.0,0,0.0,3.0,14.0,0,0.0,3.0,14.0,0,0.0,1,2025-12-10,v1
168769,Private room,Room in boutique hotel,0.0,0.058823529411764705,0.002,0.9991103202846975,False,1.5,False,4,Centrum-West,278.0,278.0,1077.0,0,0.0,3.0,1124.0,0,0.0,3.0,1124.0,0,0.0,1,2025-12-10,v1
171054,Entire home/apt,Entire rental unit,0.13333333333333333,0.11764705882352941,0.002,0.0035587188612099642,False,1,False,1,De Baarsjes - Oud-West,103.0,103.0,2569.0,0,0.0,3.0,5.0,0,0.0,3.0,5.0,0,0.0,1,2025-12-10,v1
179528,Entire home/apt,Entire rental unit,0.13333333333333333,0.11764705882352941,0.006,0.05249110320284697,False,1.5,True,2,De Pijp - Rivierenbuurt,37.0,37.0,166.0,43,0.4725274725274725,12.417582417582418,1125.0,28,0.9032258064516129,22.096774193548388,1125.0,30,1.0,0,2025-12-10,v1
188347,Private room,Private room in condo,0.06666666666666667,0.058823529411764705,0.002,0.02402135231316726,False,1,False,1,De Baarsjes - Oud-West,478.0,476.0,98.0,64,0.7032967032967034,2.32967032967033,1125.0,31,1.0,3.0,1125.0,22,0.7333333333333333,0,2025-12-10,v1
189754,Entire home/apt,Entire loft,0.2,0.058823529411764705,0.001,1.0,True,1,True,1,Centrum-West,427.0,426.0,91.0,38,0.4175824175824176,2.0,1125.0,24,0.7741935483870968,2.0,1125.0,25,0.8333333333333334,0,2025-12-10,v1
190943,Entire home/apt,Entire rental unit,0.13333333333333333,0.11764705882352941,0.002,0.02402135231316726,False,1,False,1,Zuid,14.0,14.0,521.0,0,0.0,3.0,28.0,0,0.0,3.0,28.0,0,0.0,1,2025-12-10,v1
219276,Private room,Private room in guest suite,0.06666666666666667,0.058823529411764705,0.001,0.6752669039145908,False,1,False,1,Centrum-West,16.0,16.0,1144.0,0,0.0,2.0,760.0,0,0.0,2.0,760.0,0,0.0,1,2025-12-10,v1
193038,Private room,Private room in loft,0.06666666666666667,0.058823529411764705,0.002,0.026690391459074734,True,1,True,1,Centrum-Oost,740.0,729.0,101.0,52,0.5714285714285714,2.978021978021978,1125.0,27,0.8709677419354839,3.0,1125.0,27,0.9,0,2025-12-10,v1
212050,Entire home/apt,Entire rental unit,0.2,0.11764705882352941,0.003,0.3238434163701068,False,1.5,False,1,De Baarsjes - Oud-West,23.0,23.0,491.0,0,0.0,4.0,365.0,0,0.0,4.0,365.0,0,0.0,1,2025-12-10,v1
213371,Entire home/apt,Entire rental unit,0.2,0.17647058823529413,0.003,0.05693950177935943,False,1.5,False,1,De Pijp - Rivierenbuurt,23.0,23.0,907.0,0,0.0,4.0,65.0,0,0.0,4.0,65.0,0,0.0,1,2025-12-10,v1
214531,Private room,Private room in rental unit,0.13333333333333333,0.058823529411764705,0.002,0.04359430604982206,False,1,False,1,Centrum-West,169.0,169.0,1263.0,0,0.0,3.0,50.0,0,0.0,3.0,50.0,0,0.0,1,2025-12-10,v1
245927,Entire home/apt,Entire guest suite,0.2,0.11764705882352941,0.001,0.1592526690391459,True,1.5,,1,Centrum-West,274.0,274.0,104.0,37,0.4065934065934066,2.0549450549450547,180.0,16,0.5161290322580645,2.0,180.0,22,0.7333333333333333,0,2025-12-10,v1
247805,Private room,Private room in rental unit,0.06666666666666667,0.058823529411764705,0.001,0.3238434163701068,False,1.5,True,1,De Baarsjes - Oud-West,563.0,559.0,99.0,9,0.0989010989010989,2.0,365.0,6,0.1935483870967742,2.0,365.0,0,0.0,1,2025-12-10,v1
252080,Entire home/apt,Entire home,0.2,0.17647058823529413,0.003,0.011565836298932384,False,3.5,False,1,Centrum-Oost,29.0,29.0,121.0,0,0.0,4.0,14.0,0,0.0,4.0,14.0,0,0.0,1,2025-12-10,v1
254104,Private room,Private room in bed and breakfast,0.06666666666666667,0.058823529411764705,0.001,0.026690391459074734,False,1,False,3,Centrum-Oost,86.0,86.0,95.0,55,0.6043956043956044,2.0,31.0,31,1.0,2.0,31.0,14,0.4666666666666667,0,2025-12-10,v1
1196088,Entire home/apt,Entire rental unit,0.2,0.11764705882352941,0.001,0.011565836298932384,False,1,True,1,Oud-Noord,625.0,624.0,95.0,52,0.5714285714285714,1.978021978021978,1125.0,29,0.9354838709677419,2.0,1125.0,30,1.0,0,2025-12-10,v1
254800,Entire home/apt,Entire rental unit,0.06666666666666667,0.058823529411764705,0.001,1.0,False,1.5,False,1,Centrum-West,63.0,63.0,1153.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
